name,ring,quadrant,isNew,description
Fuzgewina,Adopt,languages-and-frameworks,FALSE,
SwiftLess,Adopt,languages-and-frameworks,FALSE,
Jufe.js,Trial,languages-and-frameworks,TRUE,
React Spook,Trial,languages-and-frameworks,TRUE,
Tensorfling,Trial,languages-and-frameworks,FALSE,
Gremp,Assess,languages-and-frameworks,TRUE,
Hashening,Assess,languages-and-frameworks,FALSE,
Blood Spring Components,Hold,languages-and-frameworks,FALSE,
Calipanamepoid,Hold,languages-and-frameworks,FALSE,
Decoupling as code,Adopt,Techniques,FALSE,
Decision discoverability,Adopt,Techniques,TRUE,
Service for all the services,Trial,Techniques,TRUE,
Configuration in a containerr,Trial,Techniques,TRUE,
Privacy-chaomety,Assess,Techniques,FALSE,
Galvings,Assess,Techniques,FALSE,
Progressive analytics,Assess,Techniques,TRUE,
Doing Data But clopping,Hold,Techniques,FALSE,
Decoil as a backer,Hold,Techniques,FALSE,
Mouse Cloud,Adopt,Platforms,FALSE,
GOOM,Trial,Platforms,TRUE,
Johnout,Trial,Platforms,TRUE,
My likelation/Taubatoestic,Trial,Platforms,TRUE,
Toast Pattory,Trial,Platforms,TRUE,
OpenStagrafience,Assess,Platforms,TRUE,
Japanese Chrome Farm,Assess,Platforms,FALSE,
Apache Core Device Prophet,Hold,Platforms,FALSE,
Pure flower and socks,Hold,Platforms,FALSE,
Stolen Machine,Adopt,Tools,FALSE,
swealtry,Adopt,Tools,FALSE,
Gitwake,Adopt,Tools,FALSE,
Afternighter,Trial,Tools,TRUE,
ALD Strope,Trial,Tools,FALSE,
Czecchic,Assess,Tools,TRUE,
Sonship,Assess,Tools,TRUE,
Swigg,Assess,Tools,TRUE,
German Star,Hold,Tools,FALSE,
Hashinton & Toolbus,Hold,Tools,FALSE,